,symbol,marketCap,trailingPE,priceToBook,profitMargins,revenue,grossProfits,totalAssets,totalLiab,totalCash
172,ENPH,13685142528,25.117794,13.4415245,0.21076,,974595000,,,1783884032
173,ETR,21379919872,14.567723,1.5615345,0.11622,,5278351000,,,1519773952
174,EOG,72019025920,9.168523,2.5941017,0.33224,,20132000000,,,5326000128
175,EPAM,14740747264,31.854113,4.4670396,0.0996,,1560315000,,,1933408000
176,EQT,16802911232,5.59589,1.1831319,0.47671002,,9722660000,,,64750000
177,EFX,25966751744,50.057007,6.047406,0.10145,,2945000000,,,412600000
178,EQIX,74637303808,85.48387,6.278976,0.116210006,,2971686000,,,2357497088
179,EQR,21579771904,32.66092,1.9574277,0.23989001,,1752599000,,,39250000
180,ESS,14266727424,26.313726,2.4914138,0.30945,,1122739000,,,403193984
181,EL,44340826112,81.51974,8.300509,0.03536,,,,,3089999872
182,ETSY,8600157184,29.076923,,0.12304,,1821519000,,,976888000
183,EG,17974472704,7.657117,1.6014985,0.15607001,,852900000,,,4168000000
184,EVRG,11612395520,17.077702,1.1911213,0.12157,,2634100000,,,41000000
185,ES,20701059072,17.742516,1.3195279,0.095249996,,5409934000,,,78813000
186,EXC,39011172352,18.227905,1.5316371,0.10192,,8114000000,,,303000000
187,EXPE,18941644800,24.985348,11.404448,0.06698,,10010000000,,,5056000000
188,EXPD,17174801408,22.121721,6.898102,0.07774,,2275468000,,,1639427968
189,EXR,27774703616,23.984905,1.8475133,0.34127,,1515898000,,,264732000
190,XOM,418920988672,10.38431,2.0750897,0.11738,,133715000000,,,32944001024
191,FFIV,10036183040,25.623476,3.5540001,0.14039,,2156218000,,,803323008
192,FDS,17478887424,38.1834,10.80045,0.22448999,,1112283000,,,460776992
193,FICO,26432184320,63.286396,,0.28369,,1075096000,,,136778000
194,FAST,34844733440,30.787878,10.047799,0.15572,,3215800000,,,297500000
195,FRT,7576987136,26.776163,2.7617533,0.2567,,730580000,,,105400000
196,FDX,64768303104,15.727106,2.4409678,0.04713,,24396000000,,,
197,FITB,18557714432,7.7635326,1.2861661,0.31053,,7823000000,,,7366000128
198,FSLR,16494577664,34.9276,2.617187,0.14987999,,127658000,,,1822473984
199,FE,21598394368,39.62105,2.0621266,0.04123,,8231000000,,,118000000
200,FIS,32882860032,,1.6869301,-1.65729,,5708000000,,,466000000
201,FI,75503394816,26.373167,2.5608144,0.15845,,9745000000,,,1348999936
202,FLT,16896480256,18.353725,5.52262,0.25684,,2662422000,,,1139734016
203,FMC,6623455232,11.295745,2.012662,0.10012999,,2326800000,,,323800000
204,F,41630679040,6.7973857,0.94049555,0.03537,,17215000000,,,28999999488
205,FTNT,41029431296,37.104164,562.4211,0.22246,,3332500000,,,3168800000
206,FTV,23739367424,28.991419,2.355382,0.1377,,3363400000,,,714099968
207,FOXA,14232902656,14.863415,1.4212416,0.06973,,5224000000,,,3828999936
208,FOX,14232912896,13.873171,1.3265545,0.06973,,5224000000,,,3828999936
209,BEN,11780990976,13.848837,0.9913022,0.11247,,3515300000,,,3686400000
210,FCX,52827824128,24.56,3.2096186,0.09498999,,9710000000,,,5744999936
211,GRMN,23156791296,22.330257,3.6482291,0.20601,,2806775000,,,1695905024
212,IT,33635780608,36.76572,59.202496,0.15975,,3782075000,,,1257472000
213,GEHC,33555961856,21.872404,4.7053943,0.08914,,7179000000,,,2408000000
214,GEN,13628008448,9.538116,5.6479025,0.37543,,,,,629000000
215,GNRC,6929484800,44.584984,2.9284248,0.04716,,1522004000,,,161524992
216,GD,67632062464,20.70426,3.3828366,0.07965,,6622000000,,,1352000000
217,GE,130574147584,12.483871,4.5551887,0.11897001,,18536000000,,,18080999424
218,GIS,37887762432,15.897561,3.691454,0.120670006,,6545800000,,,490900000
219,GM,38591946752,3.9578652,0.5297391,0.05829,,21154000000,,,30774999040
220,GPC,19263066112,15.5079,4.602861,0.05435,,7740104000,,,654636992
221,GILD,93926498304,16.141327,4.2125854,0.21451999,,21624000000,,,7974000128
222,GL,11419422720,14.997528,2.4739516,0.14633,,1350660000,,,169480000
223,GPN,29327611904,34.338413,1.3067034,0.09228,,5228998000,,,1941777024
224,GS,110600880128,16.336704,1.0996511,0.17762,,37530000000,,,978152980480
225,HAL,34065682432,13.079038,3.7229779,0.11517,,3243000000,,,2036000000
226,HIG,23505174528,10.749657,1.7711048,0.09603,,7379000000,,,3415000064
227,HAS,6403958784,,2.9133263,-0.1033,,2915700000,,,184400000
228,HCA,67498745856,12.453333,,0.090500005,,23177000000,,,994000000
229,PEAK,9108782080,37.840908,1.4106582,0.112270005,,1194700000,,,102158000
230,HSIC,9097857024,20.612425,2.5553844,0.03506,,3831000000,,,137000000
231,HSY,39198175232,20.655172,9.878884,0.17106001,,4498547000,,,471252000
232,HES,44663992320,30.612633,5.152546,0.14339,,7741000000,,,2018000000
233,HPE,20307675136,19.072289,0.9846364,0.03639,,9506000000,,,2219000064
234,HLT,43548643328,34.37652,,0.30517,,2737000000,,,698000000
235,HOLX,17572139008,39.202183,3.4563498,0.11314,,3310500000,,,2738700032
236,HD,310721773568,19.916666,216.36491,0.10216,,52778000000,,,2058000000
237,HON,127505743872,23.966543,7.399855,0.1487,,11641000000,,,7934000128
238,HRL,17880860672,20.45,2.3181014,0.07196,,2164686000,,,686547008
239,HST,12463104000,16.590477,1.7886846,0.14359,,1530000000,,,916000000
240,HWM,21521858560,33.94156,5.641662,0.099659994,,1596000000,,,424000000
241,HPQ,28304023552,12.291845,,0.060739998,,12335000000,,,3235000064
242,HUBB,16115049472,22.836626,5.8832855,0.13216,,1481500000,,,590700032
243,HUM,63803506688,21.415703,3.7644272,0.029460002,,17180000000,,,30293000192
244,HBAN,15755110400,7.205298,0.9847936,0.32586,,6956000000,,,12279000064
245,HII,9467699200,17.987925,2.5398278,0.0478,,1440000000,,,109000000
246,IBM,141697794048,20.049095,6.1391773,0.11319,,32688000000,,,10977999872
247,IEX,15065357312,24.503075,4.4478436,0.18737,,1435400000,,,587299968
248,IDXX,39713660928,48.793877,30.615274,0.22930999,,2004338000,,,331696000
249,ITW,72769282048,23.480583,24.23104,0.19553,,6503000000,,,990000000
250,ILMN,15616391168,,2.634413,-0.25195998,,3145000000,,,933000000
251,INCY,12043617280,28.585108,2.4421723,0.11776,,1593729000,,,3516453120
252,IR,28874170368,38.766304,3.0222018,0.11474,,2325600000,,,1225699968
253,PODD,13124097024,108.64162,21.603449,0.07707,,805600000,,,685400000
254,INTC,185335349248,,1.8203652,-0.0311,,26866000000,,,25030000640
255,ICE,65472720896,26.540604,2.5700421,0.32032,,7292000000,,,837000000
256,IFF,19077001216,1245.5001,1.1235905,0.00155,,4151000000,,,629000000
257,IP,11394339840,15.105504,1.2827705,0.01306,,6018000000,,,1148999936
258,IPG,11727583232,12.811715,3.186596,0.09956,,2125900000,,,1676700032
259,INTU,157903503360,67.15119,9.1596575,0.16591999,,11388000000,,,
260,ISRG,111962423296,74.65023,8.927348,0.22139,,4196000000,,,6475700224
261,IVZ,6208340480,10.623077,0.55217916,0.145,,1897800000,,,1241500032
262,INVH,20499621888,41.185184,1.9944997,0.2067,,1354228000,,,896654976
263,IQV,38691823616,35.572147,6.665304,0.07513,,5028000000,,,1332000000
264,IRM,18456688640,67.24468,70.311455,0.0521,,2914454000,,,170502000
265,JBHT,18880325632,24.63661,4.6987705,0.0589,,2577787000,,,75198000
266,JKHY,11200976896,31.07071,6.7470937,0.17066,,858640000,,,31467000
267,J,15534503936,21.23408,2.3741436,0.040710002,,3328324000,,,926582016
268,JNJ,367110225920,28.558052,5.153768,0.35096002,,63954000000,,,23510999040
269,JCI,35648770048,17.583893,2.1837883,0.07745,,8343000000,,,1057000000
270,JPM,443885649920,9.155635,1.5308075,0.35984,,122306000000,,,1440220971008
271,JNPR,8714662912,24.401785,2.0116296,0.06485,,2958300000,,,1377100032
272,K,18314545152,22.466387,4.541748,0.052059997,,4625000000,,,1131000064
273,KVUE,38776520704,36.160713,3.5595007,0.11071,,8340000000,,,1062000000
274,KDP,45613846528,23.810219,1.7983351,0.13159001,,7332000000,,,260000000
275,KEY,11272569856,9.788618,1.0382891,0.21277,,6743000000,,,2512999936
276,KEYS,24157302784,21.62798,5.1037326,0.19344999,,3450000000,,,2472000000
277,KMB,41374113792,23.544231,60.8499,0.08627,,6219000000,,,814000000
278,KIM,11597841408,26.352112,1.2093594,0.26238,,1196777000,,,424262016
279,KMI,38565060608,15.917431,1.277426,0.1554,,7290000000,,,88000000
280,KLAC,75529256960,24.871979,25.26555,0.30512,,,,,3349320960
281,KHC,42855305216,14.438016,0.8700199,0.110010006,,8235000000,,,1052000000
282,KR,31779379200,19.723215,3.5808072,0.01102,,32808000000,,,2308999936
283,LHX,36204036096,24.583012,1.9437462,0.07959,,4927000000,,,499000000
284,LH,18059927552,21.929897,2.2938728,0.043870002,,4385100000,,,727900032
285,LRCX,94560763904,24.330282,11.775615,0.25084,,,,,5156706816
286,LW,14378208256,14.27482,9.566097,0.17177,,,,,163300000
287,LVS,37398900736,56.22988,8.208054,0.07814,,2585000000,,,5574000128
288,LDOS,14680140800,100.71699,3.5408447,0.0097,,2084000000,,,750000000
289,LEN,35919040512,9.468101,1.4145433,0.11662,,7202144000,,,3921864960
290,LIN,200851128320,34.233055,5.1635504,0.1844,,13914000000,,,3894000128
291,LYV,20183377920,58.42,90.24716,0.02693,,4343730000,,,5948511232
292,LKQ,12266692608,12.840337,2.061151,0.0713,,5223000000,,,401000000
293,LMT,112143237120,16.557144,12.038511,0.102910005,,8387000000,,,3551000064
294,L,15471295488,10.547945,1.075636,0.099309996,,4697000000,,,5120000000
295,LOW,114886287360,15.266105,,0.08495,,32257000000,,,1531000064
296,LULU,54635343872,54.653164,15.48526,0.11396,,4492340000,,,1107529984
297,LYB,30532192256,13.46638,2.3121514,0.05514,,6604000000,,,2900999936
298,MTB,20847896576,7.2029815,0.8619755,0.32371,,7661559000,,,32418449408
299,MRO,14836011008,9.218182,1.3323172,0.26061,,6152000000,,,184000000
300,MPC,56764698624,5.6393814,2.2313433,0.07563,,26565000000,,,13056000000
301,MKTX,8771309568,35.113808,7.3211627,0.33777002,,665336000,,,519208000
302,MAR,61360861184,22.179405,,0.4747,,4282000000,,,717000000
303,MMC,99072950272,28.994228,8.684359,0.15609999,,8884000000,,,2900999936
304,MLM,28554926080,26.11645,3.659725,0.17216,,1425900000,,,647600000
305,MAS,13288213504,16.128065,,0.1039,,2745000000,,,560000000
306,MA,386832596992,35.963383,61.374794,0.44852,,22237000000,,,7491999744
307,MTCH,8706138112,18.096045,,0.1542,,2231180000,,,712817024
308,MKC,17850435584,27.683332,3.53085,0.097950004,,2274500000,,,154700000
309,MCD,204938133504,24.937336,,0.33314,,13207200000,,,3508000000
310,MCK,61390815232,18.250395,,0.01198,,12358000000,,,2524000000
311,MDT,105071960064,25.639612,2.0412543,0.12836,,,,,7734000128
312,MRK,258140635136,56.594448,6.2616024,0.07769,,42077000000,,,8773000192
313,META,869203836928,29.852606,6.086448,0.23421,,92855000000,,,61122998272
314,MET,47039074304,,1.8436321,-0.00303,,14893000000,,,25027000320
315,MTD,23711453184,27.93129,,0.2224,,2308042000,,,69675000
316,MGM,13738469376,13.496645,3.4574056,0.072569996,,6474502000,,,3316359936
317,MCHP,45047406592,18.258772,6.464286,0.28143,,,,,256600000
318,MU,84405567488,,1.9130458,-0.37535,,-1416000000,,,9594000384
319,MSFT,2805157855232,36.64369,12.707225,0.35314998,,,,,143945007104
320,MAA,14700158976,24.534,2.340182,0.27455,,1230709000,,,161896992
321,MRNA,29938417664,,2.2234178,-0.38,,10552000000,,,7573000192
322,MHK,5350578176,,0.73642963,-0.04883,,3014243000,,,518452000
323,MOH,21432246272,22.890411,5.496793,0.02864,,3926000000,,,9676000256
324,TAP,12950161408,51.273506,0.97733825,0.0221,,3655200000,,,801699968
325,MDLZ,97467662336,21.443115,3.4156811,0.12973,,11356000000,,,1610000000
326,MPWR,26324768768,59.52763,13.535339,0.24605,,1048552000,,,1042300992
327,MNST,57401073664,37.53061,7.2908683,0.22615999,,3174567000,,,3010600960
328,MCO,66318082048,44.031593,20.782244,0.26423,,3855000000,,,2079000064
329,MS,129089028096,14.044643,1.4278194,0.18370001,,46437000000,,,541129015296
330,MOS,11900062720,9.217721,0.99207103,0.08802,,5777100000,,,591000000
331,MSI,53249171456,32.473682,147.30946,0.17304,,4394000000,,,910000000
332,MSCI,41787834368,44.065887,,0.39758998,,1844257000,,,924713024
333,NDAQ,31906162688,24.798206,4.20117,0.18386,,3582000000,,,5462000128
334,NTAP,16356686848,14.192028,18.755087,0.19494,,4209000000,,,3014000128
335,NFLX,209893818368,47.860275,9.494169,0.13821,,12447265000,,,7867445760
336,NEM,43322097664,,1.5647504,-0.07354,,4526000000,,,3214000128
337,NWSA,12720019456,91.708336,1.5970106,0.014040001,,4803000000,,,1544999936
338,NWS,12720023552,95.583336,1.66449,0.014040001,,4803000000,,,1544999936
339,NEE,118075908096,15.184696,2.5071883,0.27818,,10139000000,,,1568000000
340,NKE,163818389504,33.22222,11.742119,0.09816,,,,,8789999616
341,NI,10790131712,17.4,1.7802333,0.124639995,,2261100000,,,56000000
